name,value,year
SAP,16941.6,2013.4
SAP,17008,2013.5
SAP,17074.4,2013.6
SAP,17140.8,2013.7
SAP,17207.2,2013.8
SAP,17273.6,2013.9
SAP,17340,2014
SAP,17482.8,2014.1
SAP,17625.6,2014.2
SAP,17768.4,2014.3
SAP,17911.2,2014.4
SAP,18054,2014.5
SAP,18196.8,2014.6
SAP,18339.6,2014.7
SAP,18482.4,2014.8
SAP,18625.2,2014.9
SAP,18768,2015
SAP,19020.5,2015.1
SAP,19273,2015.2
SAP,19525.5,2015.3
SAP,19778,2015.4
SAP,20030.5,2015.5
SAP,20283,2015.6
SAP,20535.5,2015.7
SAP,20788,2015.8
SAP,21040.5,2015.9
SAP,21293,2016
SAP,21427.2,2016.1
SAP,21561.4,2016.2
SAP,21695.6,2016.3
SAP,21829.8,2016.4
SAP,21964,2016.5
SAP,22098.2,2016.6
SAP,22232.4,2016.7
SAP,22366.6,2016.8
SAP,22500.8,2016.9
SAP,22635,2017
SAP,22660,2017.1
SAP,22685,2017.2
SAP,22710,2017.3
SAP,22735,2017.4
SAP,22760,2017.5
SAP,22785,2017.6
SAP,22810,2017.7
SAP,22835,2017.8
SAP,22860,2017.9
SAP,22885,2018
Shell,2786,2000
Shell,2791.8,2000.1
Shell,2797.6,2000.2
Shell,2803.4,2000.3
Shell,2809.2,2000.4
Shell,2815,2000.5
Shell,2820.8,2000.6
Shell,2826.6,2000.7
Shell,2832.4,2000.8
Shell,2838.2,2000.9
Shell,2844,2001
Shell,2840.6,2001.1
Shell,2837.2,2001.2
Shell,2833.8,2001.3
Shell,2830.4,2001.4
Shell,2827,2001.5
Shell,2823.6,2001.6
Shell,2820.2,2001.7
Shell,2816.8,2001.8
Shell,2813.4,2001.9
Shell,2810,2002
Shell,2827.3,2002.1
Shell,2844.6,2002.2
Shell,2861.9,2002.3
Shell,2879.2,2002.4
Shell,2896.5,2002.5
Shell,2913.8,2002.6
Shell,2931.1,2002.7
Shell,2948.4,2002.8
