name,value,year,lastValue
Allianz,,2001.1,NA
Allianz,,2001.2,NA
Allianz,,2001.3,NA
Allianz,,2001.4,NA
Allianz,,2001.5,NA
Allianz,,2001.6,NA
Allianz,,2001.7,NA
Allianz,,2001.8,NA
Allianz,,2001.9,NA
Allianz,,2002,NA
Allianz,,2002.1,NA
Allianz,,2002.2,NA
Allianz,,2002.3,NA
Allianz,,2002.4,NA
Allianz,,2002.5,NA
Allianz,,2002.6,NA
Allianz,,2002.7,NA
Allianz,,2002.8,NA
Allianz,,2002.9,NA
Allianz,,2003,NA
Allianz,,2003.1,NA
Allianz,,2003.2,NA
Allianz,,2003.3,NA
Allianz,,2003.4,NA
Allianz,,2003.5,NA
Allianz,,2003.6,NA
Allianz,,2003.7,NA
Allianz,,2003.8,NA
Allianz,,2003.9,NA
Allianz,,2004,NA
Allianz,,2004.1,NA
Allianz,,2004.2,NA
Allianz,,2004.3,NA
Allianz,,2004.4,NA
Allianz,,2004.5,NA
Allianz,,2004.6,NA
Allianz,,2004.7,NA
Allianz,,2004.8,NA
Allianz,,2004.9,NA
Allianz,,2005,NA
Allianz,,2005.1,NA
Allianz,,2005.2,NA
Allianz,,2005.3,NA
Allianz,,2005.4,NA
Allianz,,2005.5,NA
Allianz,,2005.6,NA
Allianz,,2005.7,NA
Allianz,,2005.8,NA
Allianz,,2005.9,NA
Allianz,,2006,NA
Allianz,,2006.1,NA
Allianz,,2006.2,NA
Allianz,,2006.3,NA
Allianz,,2006.4,NA
Allianz,,2006.5,NA
Allianz,,2006.6,NA
Allianz,,2006.7,NA
Allianz,,2006.8,NA
Allianz,,2006.9,NA
Allianz,,2007,3957
Allianz,,2007.1,3957
Allianz,,2007.2,3964.6
Allianz,,2007.3,3972.2
Allianz,,2007.4,3979.8
Allianz,,2007.5,3987.4
Allianz,,2007.6,3995
Allianz,,2007.7,4002.6
Allianz,,2007.8,4010.2
Allianz,,2007.9,4017.8
Allianz,,2008,4025.4
Allianz,,2008.1,4033
Allianz,,2008.2,4012.8
Allianz,,2008.3,3992.6
Allianz,,2008.4,3972.4
Allianz,,2008.5,3952.2
Allianz,,2008.6,3932
Allianz,,2008.7,3911.8
Allianz,,2008.8,3891.6
Allianz,,2008.9,3871.4
Allianz,,2009,3851.2
Allianz,,2009.1,3831
Allianz,,2009.2,3938.3
Allianz,,2009.3,4045.6
Allianz,,2009.4,4152.9
Allianz,,2009.5,4260.2
Allianz,,2009.6,4367.5
Allianz,,2009.7,4474.8
Allianz,,2009.8,4582.1
Allianz,,2009.9,4689.4
Allianz,,2010,4796.7
Allianz,,2010.1,4904
Allianz,,2010.2,4948.1
Allianz,,2010.3,4992.2
Allianz,,2010.4,5036.3
Allianz,,2010.5,5080.4
Allianz,,2010.6,5124.5
Allianz,,2010.7,5168.6
Allianz,,2010.8,5212.7
Allianz,,2010.9,5256.8
Allianz,,2011,5300.9
Allianz,,2011.1,5345
Allianz,,2011.2,5428.9
Allianz,,2011.3,5512.8
Allianz,,2011.4,5596.7
Allianz,,2011.5,5680.6
Allianz,,2011.6,5764.5
Allianz,,2011.7,5848.4
Allianz,,2011.8,5932.3
Allianz,,2011.9,6016.2
Allianz,,2012,6100.1
Allianz,,2012.1,6184
Allianz,,2012.2,6236.6
Allianz,,2012.3,6289.2
Allianz,,2012.4,6341.8
Allianz,,2012.5,6394.4
Allianz,,2012.6,6447
Allianz,,2012.7,6499.6
Allianz,,2012.8,6552.2
Allianz,,2012.9,6604.8
Allianz,,2013,6657.4
Allianz,,2013.1,6710
Allianz,,2013.2,6809.2
Allianz,,2013.3,6908.4
Allianz,,2013.4,7007.6
Allianz,,2013.5,7106.8
Allianz,,2013.6,7206
Allianz,,2013.7,7305.2
Allianz,,2013.8,7404.4
Allianz,,2013.9,7503.6
Allianz,,2014,7602.8
Allianz,,2014.1,7702
Allianz,,2014.2,7781.6
Allianz,,2014.3,7861.2
Allianz,,2014.4,7940.8
Allianz,,2014.5,8020.4
Allianz,,2014.6,8100
Allianz,,2014.7,8179.6
Allianz,,2014.8,8259.2
Allianz,,2014.9,8338.8
Allianz,,2015,8418.4
Allianz,,2015.1,8498
Allianz,,2015.2,8601
Allianz,,2015.3,8704
Allianz,,2015.4,8807
Allianz,,2015.5,8910
Allianz,,2015.6,9013
Allianz,,2015.7,9116
Allianz,,2015.8,9219
Allianz,,2015.9,9322
Allianz,,2016,9425
Allianz,,2016.1,9528
Allianz,,2016.2,9581.1
Allianz,,2016.3,9634.2
